761,5,bet,call,check,fold,raise
0.02,0.06,0.5,2.0,0.0,1
0.12,0.16,0.5,2.0,0.0,1
0.04666666666666667,0.16,0.905,3.0,1.0,0
0.14666666666666667,0.36,0.905,3.0,1.0,1
0.11333333333333333,0.36,0.888,3.0,2.0,2
0.18,0.46,0.888,3.0,2.0,1
0.14666666666666667,0.46,0.8785,3.0,3.0,2
0.21333333333333335,0.56,0.8785,3.0,3.0,1
0.02,0.04,0.5,2.0,0.0,1
0.08,0.18,0.7515,3.0,1.0,3
0.11333333333333333,0.38,0.6425,3.0,2.0,2
0.14666666666666667,0.48,0.5205,3.0,3.0,2
0.095,0.16,0.5,4.0,0.0,1
0.023333333333333334,0.16,0.1745,6.0,1.0,2
0.12333333333333334,0.36,0.1745,6.0,1.0,1
0.056666666666666664,0.36,0.086,6.0,2.0,2
0.056666666666666664,0.36,0.6615,6.0,3.0,0
0.13,0.18,0.5,4.0,0.0,1
0.023333333333333334,0.18,0.8145,6.0,1.0,2
0.14,0.38,0.8145,6.0,1.0,3
0.056666666666666664,0.38,0.7385,6.0,2.0,2
0.09,0.48,0.5405,6.0,3.0,3
0.013333333333333334,0.04,0.5,3.0,0.0,2
0.12,0.14,0.5,2.0,0.0,1
0.085,0.24,0.493,4.0,1.0,3
0.11,0.34,0.5435,4.0,2.0,3
0.085,0.34,0.459,4.0,3.0,2
0.013333333333333334,0.02,0.5,3.0,0.0,4
0.035,0.16,0.7105,4.0,1.0,0
0.06,0.26,0.7405,4.0,2.0,0
0.085,0.36,0.6215,4.0,3.0,2
0.135,0.46,0.6215,4.0,3.0,1
0.01,0.04,0.5,4.0,0.0,2
0.01,0.04,0.1495,4.0,1.0,2
0.01,0.04,0.162,4.0,2.0,2
0.01,0.04,0.181,4.0,3.0,2
0.02666666666666667,0.04,0.5,3.0,0.0,1
0.01,0.04,0.0205,4.0,1.0,2
0.01,0.04,0.0275,4.0,2.0,2
0.01,0.04,0.035,4.0,3.0,2
0.02666666666666667,0.06,0.5,3.0,0.0,1
0.01,0.06,0.157,4.0,1.0,2
0.01,0.06,0.181,4.0,2.0,2
0.01,0.06,0.1885,4.0,3.0,2
0.02666666666666667,0.04,0.5,3.0,0.0,1
0.008,0.04,0.049,5.0,1.0,2
0.048,0.14,0.0835,5.0,2.0,3
0.048,0.14,0.3065,5.0,3.0,3
0.108,0.44,0.3065,5.0,3.0,3
0.02666666666666667,0.06,0.5,3.0,0.0,1
0.008,0.06,0.928,5.0,1.0,2
0.008,0.06,0.9975,5.0,2.0,0
0.028,0.16,0.997,5.0,3.0,0
0.068,0.26,0.997,5.0,3.0,4
0.008,0.04,0.5,5.0,0.0,2
0.12,0.14,0.5,2.0,0.0,1
0.023333333333333334,0.14,0.1235,6.0,1.0,2
0.056666666666666664,0.24,0.1235,6.0,1.0,3
0.04,0.24,0.0455,6.0,2.0,2
0.07333333333333333,0.34,0.0455,6.0,2.0,3
0.056666666666666664,0.34,0.0545,6.0,3.0,2
0.01,0.0,0.5,4.0,0.0,4
0.023333333333333334,0.14,0.578,6.0,1.0,0
0.04,0.24,0.442,6.0,2.0,0
0.056666666666666664,0.34,0.3575,6.0,3.0,2
0.013333333333333334,0.02,0.5,3.0,0.0,1
0.028,0.16,0.789,5.0,1.0,2
0.048,0.26,0.782,5.0,2.0,2
0.068,0.36,0.706,5.0,3.0,2
0.008,0.04,0.5,5.0,0.0,1
0.12,0.14,0.5,2.0,0.0,1
0.068,0.24,0.883,5.0,1.0,1
0.088,0.34,0.858,5.0,2.0,1
0.108,0.44,0.7845,5.0,3.0,1
0.06,0.14,0.5,4.0,0.0,1
0.023333333333333334,0.14,0.552,6.0,1.0,2
0.07333333333333333,0.24,0.378,6.0,2.0,3
0.088,0.34,0.5775,5.0,3.0,3
0.12666666666666668,0.18,0.5,3.0,0.0,1
0.023333333333333334,0.18,0.8205,6.0,1.0,2
0.023333333333333334,0.18,0.8145,6.0,2.0,0
0.04,0.28,0.786,6.0,3.0,0
0.01,0.04,0.5,4.0,0.0,1
0.008,0.04,0.336,5.0,1.0,2
0.008,0.04,0.351,5.0,2.0,2
